Time,In Bit Rate,Out Bit Rate
28.Apr 05:55,916635.97,907321.71
28.Apr 06:00,730818.8,722609.68
28.Apr 06:05,1620632.13,1612358.05
28.Apr 06:10,811614.83,804032.56
28.Apr 06:15,788810.4,780625.23
28.Apr 06:20,2617659.23,2609238.11
28.Apr 06:25,930643.31,922891.87
28.Apr 06:30,1643647.09,1634859.84
28.Apr 06:35,2994794.43,2986392.8
28.Apr 06:40,928267.87,920269.07
28.Apr 06:45,746193.89,738780.67
28.Apr 06:50,2023264.37,2015446.69
28.Apr 06:55,793828.11,785789.17
28.Apr 07:00,807954.85,799969.07
28.Apr 07:05,2010863.28,2002076.13
28.Apr 07:10,956133.36,947002.21
28.Apr 07:15,855409.17,847096.61
28.Apr 07:20,1401244.11,1392836.16
28.Apr 07:25,878522.91,869798.85
28.Apr 07:30,871810.29,863594.51
28.Apr 07:35,1379730.69,1370687.81
28.Apr 07:40,994104.53,984890.88
28.Apr 07:45,864314.72,855355.65
28.Apr 07:50,2399080.27,2390872.45
28.Apr 07:55,1180325.71,1171177.52
28.Apr 08:00,989426.51,980162.29
28.Apr 08:05,3135111.01,3124849.23
28.Apr 08:10,835861.04,826439.2
28.Apr 08:15,926753.28,916861.15
28.Apr 08:20,1379917.65,1371565.57
28.Apr 08:25,975782.85,966534.37
28.Apr 08:30,948493.89,938320.21
28.Apr 08:35,1052144.75,1042237.92
28.Apr 08:40,1076623.63,1066680.37
28.Apr 08:45,1004165.33,993612.51
28.Apr 08:50,2020086.85,2009189.79
28.Apr 08:55,1012251.81,1003029.12
28.Apr 09:00,1092130.19,1081686.93
28.Apr 09:05,1831521.97,1820773.97
28.Apr 09:10,1353340.8,1344310.35
28.Apr 09:15,2447180.05,2437299.41
28.Apr 09:20,1380112.56,1370733.73
28.Apr 09:25,1007110.29,995199.76
28.Apr 09:30,1101852.37,1091618.32
28.Apr 09:35,1131643.79,1121657.97
28.Apr 09:40,925751.92,915792.53
28.Apr 09:45,906443.79,897570.24
28.Apr 09:50,1230104.13,1219681.39
28.Apr 09:55,1020156.56,1009061.89
28.Apr 10:00,1115024.75,1105716.11
28.Apr 10:05,1989537.44,1977354
28.Apr 10:10,1061188.4,1051407.65
28.Apr 10:15,1056770.13,1045624.48
28.Apr 10:20,1493175.76,1482686.45
28.Apr 10:25,1168036.67,1157070.51
28.Apr 10:30,1001131.28,991887.65
28.Apr 10:35,1517589.28,1507891.23
28.Apr 10:40,1044732.75,1034953.65
28.Apr 10:45,996376.13,986167.28
28.Apr 10:50,1441077.41,1431887.47
28.Apr 10:55,2895971.71,2885296.29
28.Apr 11:00,2892942.64,2882897.28
28.Apr 11:05,1445164.21,1433582.27
28.Apr 11:10,1011681.2,1002451.39
